,Simulated,Observed,zone,geometry,well
2012-01-02,31.135208,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-03,29.257786,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-04,27.888237,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-05,26.788437,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-06,25.863548,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-07,25.02655,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-08,24.260975,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-09,23.558842,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-10,22.902885,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-11,22.280483,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-12,21.684278,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-13,21.11119,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-14,20.557714,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-15,20.021667,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-16,19.503805,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-17,19.002134,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-18,18.513186,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-19,18.036709,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-20,17.584284,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-21,17.208479,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-22,19.769875,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-23,22.097635,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-24,25.887453,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-25,27.763355,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-26,27.60365,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-27,26.774502,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-28,25.83414,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-29,24.907469,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-30,24.049948,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-01-31,23.26408,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-01,22.532217,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-02,21.843966,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-03,21.186373,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-04,20.54748,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-05,19.926054,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-06,19.321663,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-07,18.733854,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-08,18.214384,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-09,17.790472,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-10,17.381992,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-11,16.936754,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-12,16.47768,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-13,16.029062,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-14,15.600097,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-15,15.336756,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
2012-02-16,15.102768,,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225
