,Simulated,Observed,zone,geometry,well,station_no,label,Model Layer,i_r,j_c
2018-01-02,18.772972,35.97805658,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-03,31.25392,36.497873999999996,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-04,31.03065,36.65654397,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-05,28.688936,36.75410019,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-06,26.02409,33.764471549999996,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-07,11.612625,30.19810076,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-08,24.427917,34.034428770000005,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-09,24.977013,19.667467929999997,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-10,10.014287,19.335708450000002,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-11,10.221151,32.46180183,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-12,30.0411,29.898572859999998,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-13,32.785645,31.58167181,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-14,34.661972,33.919201400000006,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-15,35.62258,34.20817112,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-16,35.772125,34.05057877,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-17,35.76685,33.988362859999995,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-18,35.72277,33.89456084,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-19,35.33873,33.78986843,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-20,35.709816,33.94092082,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-21,35.838055,33.91580082,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-22,35.868713,33.94281463,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-23,36.76713,35.08166831,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-24,37.325268,35.363453289999995,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-25,37.274296,35.247816709999995,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-26,37.60159,35.78301084,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-27,37.865337,35.83582396,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-28,37.926804,35.477695260000004,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-29,37.707222,35.09436008,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-30,37.400368,34.80661083,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-01-31,37.14437,34.550644950000006,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-02-01,36.894848,33.084768010000005,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-02-02,36.60386,34.144815210000004,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-02-03,36.50613,34.000120949999996,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-02-04,36.3562,33.86521691,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-02-05,36.235336,33.806225510000004,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-02-06,35.927696,33.608604650000004,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-02-07,36.03985,33.46564556,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-02-08,30.579496,24.525617569999998,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-02-09,16.326733,27.75166388,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-02-10,31.535583,30.926418889999997,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2018-02-11,28.097132,29.833906610000003,Wohler,POINT (6309010.813236248 1948884.3667395897),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
