,Simulated,Observed,zone,geometry,well,station_no,label,Model Layer,i_r,j_c
2014-01-05,32.77059,38.50704478,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-09,24.565985,36.268588890000004,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-13,18.75669,29.589655760000003,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-17,27.01306,37.72325467,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-21,26.241669,31.17064889,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-25,19.228697,33.471560249999996,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-29,6.299831,25.485144270000003,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-02-02,3.8463042,,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-02-06,15.24715,36.12477535000001,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-02-10,26.256931,40.147053299999996,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-02-14,25.827902,29.23623977,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-02-18,24.295835,31.55046752,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-02-22,27.682959,32.143557509999994,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-02-26,24.32496,33.25673288,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-03-02,21.488756,34.07161485,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-03-06,33.54063,36.679466000000005,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-03-10,31.012287,20.967024750000004,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-03-14,32.89655,31.55,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-03-18,30.745756,30.356036800000002,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-03-22,27.059395,29.21963542,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-03-26,15.79147,25.696520019999998,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-03-30,24.204552,36.06949061,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-04-03,28.150604,25.11596689,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-04-07,31.770977,30.46153505,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-04-11,21.346151,22.790711070000004,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-04-15,30.770395,28.86812685,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-04-19,27.723433,25.41868346,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-04-23,10.734739,22.634054940000002,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-04-27,24.820288,33.26142605,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-05-01,13.086765,19.8374553,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-05-05,6.5668516,13.004977579999998,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-05-09,1.2299831,-6.7705588,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-05-13,5.844191,15.290154240000003,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-05-17,-5.2993536,-7.82067593,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
