,Simulated,Observed,zone,geometry,well,station_no,label,Model Layer,i_r,j_c
2014-01-02,35.218384,38.64798305000001,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-03,34.452305,38.617986810000005,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-04,32.52459,38.506069190000005,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-05,30.334278,38.50704478,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-06,28.079638,38.56709907,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-07,25.841583,38.54934566,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-08,23.57833,38.45193214,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-09,21.33138,36.268588890000004,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-10,19.323154,20.4798892,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-11,15.993246,20.27850217,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-12,14.199119,28.93136257,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-13,19.103119,29.589655760000003,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
2014-01-14,25.067326,36.481958500000005,Wohler,POINT (6309011.012975609 1948884.0010813018),LRR0225,Caisson1,"Caisson1, LRR0225",1,146,64
